GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minesweeper,de.weltraumschaf.minesweeper.control,FieldBoxListeners,8,0,0,0,3,0,2,0,2,0
Minesweeper,de.weltraumschaf.minesweeper.control,QuitListener,16,0,0,0,6,0,2,0,2,0
Minesweeper,de.weltraumschaf.minesweeper.control,VersionInfoListener,39,0,0,0,8,0,2,0,2,0
Minesweeper,de.weltraumschaf.minesweeper.control,NewGameListener,16,0,0,0,6,0,2,0,2,0
Minesweeper,de.weltraumschaf.minesweeper.control,MenuItemListeners,19,0,0,0,5,0,4,0,4,0
Minesweeper,de.weltraumschaf.minesweeper.control,FieldBoxButtonListener,189,0,18,0,44,0,15,0,6,0
Minesweeper,de.weltraumschaf.minesweeper,App.new Runnable() {...},13,0,0,0,3,0,2,0,2,0
Minesweeper,de.weltraumschaf.minesweeper,Matrix,0,319,1,31,0,59,1,27,0,12
Minesweeper,de.weltraumschaf.minesweeper,App,43,0,0,0,13,0,4,0,4,0
Minesweeper,de.weltraumschaf.minesweeper.gui,ScoreLabel,99,0,6,0,21,0,9,0,6,0
Minesweeper,de.weltraumschaf.minesweeper.gui,StatusBar,104,0,4,0,22,0,6,0,4,0
Minesweeper,de.weltraumschaf.minesweeper.gui,LabeledValue,43,0,0,0,9,0,3,0,3,0
Minesweeper,de.weltraumschaf.minesweeper.gui,FieldBoxButton,82,270,8,28,16,75,10,28,4,12
Minesweeper,de.weltraumschaf.minesweeper.gui,MineFieldPanel,121,0,10,0,26,0,8,0,3,0
Minesweeper,de.weltraumschaf.minesweeper.gui,ImageIcons,5,217,0,4,0,25,1,6,1,4
Minesweeper,de.weltraumschaf.minesweeper.gui,MainWindow,190,0,10,0,38,0,15,0,10,0
Minesweeper,de.weltraumschaf.minesweeper.gui,FieldBoxButton.State,9,39,0,0,0,4,2,2,2,2
Minesweeper,de.weltraumschaf.minesweeper.model,SaveBox,0,22,0,0,0,4,0,3,0,3
Minesweeper,de.weltraumschaf.minesweeper.model,MineBox,0,18,0,0,0,4,0,3,0,3
Minesweeper,de.weltraumschaf.minesweeper.model,MinesweeperSession.new ActionListener() {...},16,0,0,0,3,0,2,0,2,0
Minesweeper,de.weltraumschaf.minesweeper.model,MineField,0,446,0,56,0,95,0,47,0,19
Minesweeper,de.weltraumschaf.minesweeper.model,BaseMineFieldBox,8,153,6,14,4,38,6,15,0,11
Minesweeper,de.weltraumschaf.minesweeper.model,Score,17,31,0,0,1,11,1,5,1,5
Minesweeper,de.weltraumschaf.minesweeper.model,Game,78,0,4,0,23,0,11,0,9,0
Minesweeper,de.weltraumschaf.minesweeper.model,MinesweeperSession,160,0,6,0,44,0,11,0,8,0
